epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7567,1.80055,1.95221,1.48521,0.85208,0.31489,0.57195,0.24135,1.9693,2.19865,1.65466,0.000657277,0.000657277,0.000657277
2,129.132,1.50788,1.21337,1.31771,0.80057,0.6931,0.79609,0.4392,1.51992,1.27814,1.3641,0.00131084,0.00131084,0.00131084
3,180.298,1.49834,1.13415,1.31486,0.81268,0.70345,0.79647,0.44193,1.5049,1.26337,1.46214,0.0019512,0.0019512,0.0019512
4,234.677,1.43948,1.051,1.29959,0.79348,0.70282,0.7785,0.40378,1.62033,1.129,1.54279,0.0019406,0.0019406,0.0019406
5,284.952,1.42205,1.00274,1.2922,0.82609,0.76038,0.85135,0.47055,1.52441,1.24716,1.4066,0.0019208,0.0019208,0.0019208
6,335.902,1.38061,0.94907,1.26808,0.79329,0.75181,0.82891,0.45213,1.59822,1.10734,1.5351,0.001901,0.001901,0.001901
7,389.067,1.35251,0.93307,1.2597,0.7498,0.68456,0.75143,0.33079,2.01139,1.17941,1.67912,0.0018812,0.0018812,0.0018812
8,440.076,1.31766,0.88049,1.24216,0.67556,0.59546,0.64899,0.28874,2.02755,1.40535,1.79656,0.0018614,0.0018614,0.0018614
9,490.978,1.28286,0.85084,1.22345,0.79855,0.75484,0.82134,0.43696,1.58852,1.0648,1.4673,0.0018416,0.0018416,0.0018416
10,543.66,1.27353,0.82899,1.21978,0.84349,0.77919,0.87049,0.54232,1.30779,0.96534,1.2913,0.0018218,0.0018218,0.0018218
11,593.495,1.24569,0.80443,1.20468,0.88859,0.81654,0.90006,0.54634,1.34343,0.81476,1.29133,0.001802,0.001802,0.001802
12,645.171,1.25351,0.80367,1.20601,0.89228,0.84007,0.92259,0.59456,1.22846,0.74671,1.25991,0.0017822,0.0017822,0.0017822
13,698.189,1.22469,0.78346,1.19149,0.87819,0.8052,0.89261,0.5545,1.32729,0.81551,1.31522,0.0017624,0.0017624,0.0017624
14,747.924,1.20044,0.76494,1.18465,0.85704,0.83675,0.89896,0.5382,1.34032,0.8491,1.36801,0.0017426,0.0017426,0.0017426
15,798.793,1.19266,0.75265,1.18007,0.90777,0.83339,0.92335,0.61893,1.1839,0.7157,1.2192,0.0017228,0.0017228,0.0017228
16,850.972,1.17142,0.73592,1.16922,0.87205,0.83356,0.90585,0.55791,1.28893,0.80912,1.31886,0.001703,0.001703,0.001703
17,902.058,1.16934,0.73912,1.16983,0.86807,0.81074,0.88461,0.53594,1.36119,0.85974,1.34281,0.0016832,0.0016832,0.0016832
18,952.119,1.15899,0.72544,1.16373,0.90327,0.8682,0.93874,0.63346,1.14108,0.69499,1.20744,0.0016634,0.0016634,0.0016634
19,1006.12,1.12881,0.70711,1.15011,0.9092,0.86165,0.93273,0.62196,1.13774,0.77564,1.1893,0.0016436,0.0016436,0.0016436
20,1059.06,1.12511,0.69927,1.14686,0.87551,0.86402,0.93184,0.6156,1.17468,0.71401,1.23361,0.0016238,0.0016238,0.0016238
21,1110.51,1.11137,0.68722,1.14014,0.90757,0.86386,0.92386,0.61136,1.16142,0.70815,1.21478,0.001604,0.001604,0.001604
22,1165.29,1.12379,0.68999,1.14051,0.90869,0.89319,0.94215,0.64138,1.08969,0.66926,1.17428,0.0015842,0.0015842,0.0015842
23,1217.05,1.09437,0.67631,1.13058,0.91055,0.85612,0.92693,0.59558,1.23407,0.72172,1.24915,0.0015644,0.0015644,0.0015644
24,1270.26,1.09426,0.6758,1.13404,0.90773,0.85445,0.93279,0.62242,1.17343,0.71488,1.26286,0.0015446,0.0015446,0.0015446
25,1324.02,1.112,0.67456,1.13543,0.92069,0.88018,0.94418,0.66828,1.03128,0.62984,1.1413,0.0015248,0.0015248,0.0015248
26,1377.19,1.07956,0.66279,1.12522,0.90209,0.88323,0.94051,0.63301,1.17472,0.66936,1.22592,0.001505,0.001505,0.001505
27,1430.16,1.0969,0.6686,1.13313,0.91534,0.88379,0.94084,0.66101,1.04954,0.64019,1.15632,0.0014852,0.0014852,0.0014852
28,1486.88,1.06936,0.65739,1.11996,0.88511,0.84418,0.91176,0.58869,1.24929,0.75644,1.30871,0.0014654,0.0014654,0.0014654
29,1539.32,1.07056,0.65353,1.1227,0.87915,0.8694,0.9251,0.59668,1.2314,0.72437,1.28174,0.0014456,0.0014456,0.0014456
30,1591.76,1.0693,0.64533,1.11759,0.90929,0.87548,0.9387,0.64881,1.07783,0.65262,1.19085,0.0014258,0.0014258,0.0014258
31,1646,1.06516,0.64511,1.11787,0.9098,0.85398,0.92449,0.6291,1.11748,0.65103,1.20343,0.001406,0.001406,0.001406
32,1700.26,1.03697,0.63005,1.10434,0.91849,0.88157,0.9427,0.65655,1.08642,0.63573,1.2139,0.0013862,0.0013862,0.0013862
33,1752.79,1.04273,0.62966,1.10413,0.92224,0.8861,0.94617,0.65506,1.06619,0.62863,1.18595,0.0013664,0.0013664,0.0013664
34,1806.34,1.01377,0.61596,1.09015,0.91545,0.88489,0.94463,0.65733,1.07279,0.63617,1.18885,0.0013466,0.0013466,0.0013466
35,1857.74,1.02582,0.62039,1.09842,0.92201,0.89633,0.95358,0.68609,0.99902,0.59433,1.14263,0.0013268,0.0013268,0.0013268
36,1910.6,1.01527,0.61478,1.0918,0.92591,0.88527,0.94775,0.68589,0.99958,0.59541,1.13845,0.001307,0.001307,0.001307
37,1964.99,1.00711,0.61401,1.09397,0.92343,0.87425,0.9439,0.66583,1.03172,0.63924,1.15599,0.0012872,0.0012872,0.0012872
38,2019.56,1.00534,0.60661,1.08863,0.91427,0.89043,0.94412,0.64377,1.09858,0.62298,1.17269,0.0012674,0.0012674,0.0012674
39,2072.7,0.98812,0.59738,1.08484,0.92998,0.88766,0.94789,0.6678,1.04352,0.60102,1.16676,0.0012476,0.0012476,0.0012476
40,2127.95,0.99056,0.59849,1.08459,0.92877,0.88755,0.94483,0.6709,1.03257,0.60852,1.15654,0.0012278,0.0012278,0.0012278
41,2179.63,0.99445,0.59673,1.08581,0.93529,0.89043,0.95614,0.69235,0.97829,0.58278,1.1362,0.001208,0.001208,0.001208
42,2232.47,0.9773,0.59397,1.08263,0.92816,0.89373,0.94922,0.66996,1.0368,0.61634,1.17624,0.0011882,0.0011882,0.0011882
43,2285.91,0.97892,0.58597,1.0809,0.92273,0.8943,0.94593,0.66045,1.08912,0.6113,1.19926,0.0011684,0.0011684,0.0011684
44,2336.41,0.97213,0.59005,1.0757,0.92936,0.89549,0.94738,0.66734,1.06109,0.60178,1.18062,0.0011486,0.0011486,0.0011486
45,2386.71,0.97552,0.58251,1.07356,0.92205,0.90481,0.95359,0.66103,1.06351,0.63049,1.20477,0.0011288,0.0011288,0.0011288
46,2437.91,0.95812,0.57773,1.06522,0.92479,0.89485,0.951,0.68986,0.98675,0.57701,1.11986,0.001109,0.001109,0.001109
47,2488.08,0.96549,0.5761,1.06796,0.93041,0.89264,0.95438,0.69303,0.99204,0.57622,1.12614,0.0010892,0.0010892,0.0010892
48,2539.34,0.95685,0.57289,1.06828,0.92108,0.89319,0.95031,0.65977,1.05483,0.61723,1.18684,0.0010694,0.0010694,0.0010694
49,2590.7,0.94895,0.57017,1.0683,0.92926,0.8869,0.94423,0.65633,1.0563,0.60798,1.19283,0.0010496,0.0010496,0.0010496
50,2642,0.95777,0.57025,1.06759,0.92457,0.90426,0.95696,0.69868,0.97543,0.56366,1.11902,0.0010298,0.0010298,0.0010298
51,2693.87,0.94668,0.57015,1.06504,0.93311,0.88877,0.94914,0.66738,1.0328,0.60274,1.1777,0.00101,0.00101,0.00101
52,2745.05,0.94708,0.56906,1.06319,0.93307,0.87956,0.94014,0.65391,1.05746,0.61422,1.18027,0.0009902,0.0009902,0.0009902
53,2798,0.93713,0.56392,1.05769,0.94333,0.89541,0.95472,0.68999,0.99069,0.56443,1.14511,0.0009704,0.0009704,0.0009704
54,2848.45,0.92872,0.55429,1.06075,0.92582,0.89786,0.95062,0.69084,0.98077,0.56619,1.12625,0.0009506,0.0009506,0.0009506
55,2900.47,0.92055,0.55575,1.05367,0.93679,0.894,0.95078,0.6849,1.01081,0.57074,1.15104,0.0009308,0.0009308,0.0009308
56,2953.36,0.9239,0.5535,1.05206,0.93081,0.89343,0.95107,0.66885,1.037,0.58171,1.14399,0.000911,0.000911,0.000911
57,3002.59,0.93338,0.55598,1.05124,0.93031,0.90125,0.95148,0.67987,0.99836,0.57065,1.14091,0.0008912,0.0008912,0.0008912
58,3053.59,0.91816,0.5493,1.04878,0.92082,0.92418,0.95627,0.6965,0.97373,0.55412,1.13641,0.0008714,0.0008714,0.0008714
59,3104.02,0.91344,0.54352,1.04955,0.93674,0.89324,0.94984,0.69047,0.97694,0.57188,1.13849,0.0008516,0.0008516,0.0008516
60,3156.1,0.90313,0.54093,1.04528,0.94964,0.90094,0.95832,0.70748,0.94841,0.54622,1.12353,0.0008318,0.0008318,0.0008318
61,3206.04,0.9038,0.54267,1.04245,0.94037,0.88142,0.94659,0.66115,1.05689,0.58426,1.17895,0.000812,0.000812,0.000812
62,3257.05,0.9074,0.54153,1.04491,0.94498,0.89343,0.95352,0.69176,0.98416,0.55614,1.13384,0.0007922,0.0007922,0.0007922
63,3309.84,0.89989,0.53651,1.03917,0.94651,0.90094,0.95711,0.69616,0.96617,0.54306,1.13126,0.0007724,0.0007724,0.0007724
64,3359,0.89249,0.53534,1.04032,0.92855,0.90623,0.95376,0.69221,0.95587,0.56406,1.13738,0.0007526,0.0007526,0.0007526
65,3410.91,0.89408,0.53448,1.03857,0.92983,0.90193,0.95524,0.68548,0.99153,0.56086,1.14781,0.0007328,0.0007328,0.0007328
66,3463.29,0.89024,0.53368,1.03473,0.94235,0.91359,0.95912,0.698,0.95448,0.54387,1.11207,0.000713,0.000713,0.000713
67,3513.29,0.89195,0.53624,1.03683,0.92453,0.9152,0.95238,0.69171,0.9812,0.56428,1.14159,0.0006932,0.0006932,0.0006932
68,3564.86,0.88245,0.52753,1.03279,0.94207,0.89817,0.95244,0.68331,1.02593,0.5535,1.15081,0.0006734,0.0006734,0.0006734
69,3615.97,0.88198,0.52574,1.03731,0.93446,0.89159,0.94243,0.6521,1.07913,0.59741,1.21472,0.0006536,0.0006536,0.0006536
70,3667.54,0.86984,0.52283,1.03272,0.9264,0.9109,0.95588,0.68268,0.98751,0.54703,1.14857,0.0006338,0.0006338,0.0006338
71,3717.65,0.87339,0.52129,1.02925,0.92777,0.90988,0.95141,0.68916,0.98311,0.54803,1.13234,0.000614,0.000614,0.000614
72,3768.7,0.85823,0.51518,1.02464,0.92431,0.91239,0.95383,0.67915,1.00954,0.54927,1.15538,0.0005942,0.0005942,0.0005942
73,3818.9,0.86667,0.51463,1.02767,0.92833,0.91035,0.95466,0.69579,0.96985,0.54606,1.14527,0.0005744,0.0005744,0.0005744
74,3870.95,0.84843,0.50838,1.02278,0.94212,0.89174,0.95203,0.69306,0.96822,0.54008,1.13454,0.0005546,0.0005546,0.0005546
75,3921.44,0.85494,0.51268,1.02447,0.92834,0.89621,0.94874,0.69277,0.97516,0.55954,1.13951,0.0005348,0.0005348,0.0005348
76,3974.03,0.85173,0.51022,1.02029,0.93827,0.90039,0.95144,0.68592,0.98067,0.53369,1.12379,0.000515,0.000515,0.000515
77,4025.79,0.85066,0.50481,1.01813,0.94122,0.89873,0.95158,0.7016,0.95339,0.53184,1.10439,0.0004952,0.0004952,0.0004952
78,4075.75,0.84128,0.50498,1.01564,0.9318,0.89981,0.94924,0.66646,1.02972,0.55068,1.17797,0.0004754,0.0004754,0.0004754
79,4129.16,0.84613,0.50541,1.01766,0.94154,0.89128,0.94932,0.68124,0.99182,0.54274,1.15862,0.0004556,0.0004556,0.0004556
80,4179.38,0.8385,0.49825,1.01386,0.93659,0.9073,0.95567,0.6971,0.96703,0.52845,1.13342,0.0004358,0.0004358,0.0004358
81,4230.07,0.83529,0.50096,1.01284,0.94104,0.90371,0.9547,0.69584,0.97032,0.53359,1.12811,0.000416,0.000416,0.000416
82,4281.77,0.83656,0.49816,1.01324,0.93006,0.91422,0.95803,0.70958,0.93885,0.5218,1.12271,0.0003962,0.0003962,0.0003962
83,4333.12,0.82467,0.49339,1.01005,0.94057,0.90205,0.95471,0.699,0.94426,0.52844,1.1129,0.0003764,0.0003764,0.0003764
84,4384.33,0.82869,0.49403,1.01348,0.93227,0.91415,0.95509,0.68864,0.98527,0.52297,1.11994,0.0003566,0.0003566,0.0003566
85,4433.81,0.82195,0.49534,1.00801,0.93702,0.91146,0.9555,0.69295,0.96198,0.51779,1.13366,0.0003368,0.0003368,0.0003368
86,4488.79,0.82167,0.49415,1.00899,0.94495,0.88766,0.95123,0.68765,0.97579,0.54067,1.15016,0.000317,0.000317,0.000317
87,4537.54,0.8155,0.48788,1.00766,0.94194,0.89786,0.95137,0.67514,1.00685,0.54652,1.15256,0.0002972,0.0002972,0.0002972
88,4589.76,0.81498,0.48758,1.00314,0.9305,0.91201,0.95297,0.6848,0.97661,0.53288,1.13117,0.0002774,0.0002774,0.0002774
89,4642.49,0.80772,0.48255,1.00162,0.93385,0.90624,0.95168,0.67812,1.0047,0.53785,1.16225,0.0002576,0.0002576,0.0002576
90,4693.87,0.80348,0.483,0.9991,0.92943,0.9111,0.9552,0.68673,0.99728,0.52931,1.14984,0.0002378,0.0002378,0.0002378
91,4747.63,0.78224,0.45224,0.99886,0.93668,0.89485,0.95351,0.70239,0.94682,0.5241,1.12273,0.000218,0.000218,0.000218
92,4798.75,0.76017,0.43803,0.98871,0.92682,0.9098,0.95344,0.69135,0.97763,0.52937,1.14936,0.0001982,0.0001982,0.0001982
93,4846.46,0.75008,0.43256,0.98359,0.92645,0.91316,0.95485,0.69417,0.97935,0.52453,1.14222,0.0001784,0.0001784,0.0001784
94,4893.64,0.74134,0.42688,0.98008,0.93925,0.89841,0.95705,0.70266,0.95826,0.51962,1.13662,0.0001586,0.0001586,0.0001586
95,4941.68,0.73422,0.42552,0.97564,0.9343,0.9098,0.95785,0.70764,0.94387,0.51665,1.12045,0.0001388,0.0001388,0.0001388
96,4990.16,0.73399,0.42535,0.97964,0.93012,0.91201,0.95819,0.70529,0.94369,0.51646,1.12287,0.000119,0.000119,0.000119
97,5037.66,0.72759,0.42392,0.9759,0.93418,0.9111,0.95779,0.70211,0.95463,0.51375,1.11644,9.92e-05,9.92e-05,9.92e-05
98,5085.73,0.72166,0.41822,0.9715,0.93136,0.90857,0.95458,0.69971,0.95825,0.51931,1.12343,7.94e-05,7.94e-05,7.94e-05
99,5135.29,0.72047,0.41808,0.97288,0.93212,0.90438,0.9537,0.69702,0.96632,0.52235,1.13276,5.96e-05,5.96e-05,5.96e-05
100,5182.63,0.71438,0.41726,0.97112,0.93236,0.90772,0.9554,0.70505,0.95148,0.51871,1.12286,3.98e-05,3.98e-05,3.98e-05
